NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
HUJ03001	ǫxł -əŋ	нарта ATTR	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
HUJ03201	owəs	север	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ03202	in owəs jorən	этот север ненец	p	sbj	s	0	n	n	nul	nul	in	0	s	hum	sbj	1	1
HUJ03203	in owəs jorən aj wǫrt -leŋke -ł	этот север ненец маленький Ворт DIM 3SG	p	sbj	s	1	3s	dis	nul	dim	in	0	s	hum	sbj	1	1
HUJ03204	xǫłəm wur -əp łałʼ jux narԑp	три грань ATTR война дерево копье	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	1	1
HUJ03301	jiŋk wɔj	вода зверь	i	obj	s	0	n	n	nul	nul	nul	0	s	anm	atr	0	0
HUJ03302	jiŋk wɔj pɔrxa -j -əŋ pox -əł	вода зверь мужская верхняя одежда STEM ATTR сын 3SG	i	obj	s	1	3s	dis	nul	nul	nul	0	s	hum	obj	1	1
HUJ03401	ox pǫšx -əł	голова 3SG	p	sbj	s	1	3s	bod	nul	nul	nul	0	s	non	obj	1	1
HUJ03402	pa	море	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ03403	pa śɔrəs xomp -ət -a	море волна PL DAT	i	sbj	s	0	n	n	dat	nul	nul	0	p	non	iob	0	0
HUJ03501	in łałʼ narԑp -əł	этот война копье 3SG	p	obj	s	1	3s	dis	nul	nul	in	0	s	non	obj	1	1
HUJ03601	jiŋk wɔj	вода зверь	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	atr	0	0
HUJ03602	in jiŋk wɔj pɔrxa -j -əŋ pox -leŋke -ł	этот вода зверь мужская верхняя одежда STEM ATTR сын DIM  3SG	i	sbj	s	1	3s	dis	nul	dim	in	0	s	hum	sbj	1	1
HUJ03603	karti	железо	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ03604	karti aŋkəł	железо столб	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	iob	0	0
